,sepal_length,sepal_width,petal_length,petal_width,species,id
73,6.1,2.8,4.7,1.2,versicolor,73
74,6.4,2.9,4.3,1.3,versicolor,74
75,6.6,3.0,4.4,1.4,versicolor,75
76,6.8,2.8,4.8,1.4,versicolor,76
77,6.7,3.0,5.0,1.7,versicolor,77
78,6.0,2.9,4.5,1.5,versicolor,78
79,5.7,2.6,3.5,1.0,versicolor,79
80,5.5,2.4,3.8,1.1,versicolor,80
81,5.5,2.4,3.7,1.0,versicolor,81
82,5.8,2.7,3.9,1.2,versicolor,82
83,6.0,2.7,5.1,1.6,versicolor,83
84,5.4,3.0,4.5,1.5,versicolor,84
85,6.0,3.4,4.5,1.6,versicolor,85
86,6.7,3.1,4.7,1.5,versicolor,86
87,6.3,2.3,4.4,1.3,versicolor,87
88,5.6,3.0,4.1,1.3,versicolor,88
89,5.5,2.5,4.0,1.3,versicolor,89
90,5.5,2.6,4.4,1.2,versicolor,90
91,6.1,3.0,4.6,1.4,versicolor,91
92,5.8,2.6,4.0,1.2,versicolor,92
93,5.0,2.3,3.3,1.0,versicolor,93
94,5.6,2.7,4.2,1.3,versicolor,94
95,5.7,3.0,4.2,1.2,versicolor,95
96,5.7,2.9,4.2,1.3,versicolor,96
97,6.2,2.9,4.3,1.3,versicolor,97
99,5.7,2.8,4.1,1.3,versicolor,99
100,6.3,3.3,6.0,2.5,virginica,100
101,5.8,2.7,5.1,1.9,virginica,101
102,7.1,3.0,5.9,2.1,virginica,102
103,6.3,2.9,5.6,1.8,virginica,103
104,6.5,3.0,5.8,2.2,virginica,104
105,7.6,3.0,6.6,2.1,virginica,105
107,7.3,2.9,6.3,1.8,virginica,107
108,6.7,2.5,5.8,1.8,virginica,108
109,7.2,3.6,6.1,2.5,virginica,109
110,6.5,3.2,5.1,2.0,virginica,110
111,6.4,2.7,5.3,1.9,virginica,111
112,6.8,3.0,5.5,2.1,virginica,112
113,5.7,2.5,5.0,2.0,virginica,113
114,5.8,2.8,5.1,2.4,virginica,114
115,6.4,3.2,5.3,2.3,virginica,115
116,6.5,3.0,5.5,1.8,virginica,116
117,7.7,3.8,6.7,2.2,virginica,117
118,7.7,2.6,6.9,2.3,virginica,118
119,6.0,2.2,5.0,1.5,virginica,119
120,6.9,3.2,5.7,2.3,virginica,120
121,5.6,2.8,4.9,2.0,virginica,121
122,7.7,2.8,6.7,2.0,virginica,122
123,6.3,2.7,4.9,1.8,virginica,123
124,6.7,3.3,5.7,2.1,virginica,124
125,7.2,3.2,6.0,1.8,virginica,125
126,6.2,2.8,4.8,1.8,virginica,126
127,6.1,3.0,4.9,1.8,virginica,127
128,6.4,2.8,5.6,2.1,virginica,128
129,7.2,3.0,5.8,1.6,virginica,129
130,7.4,2.8,6.1,1.9,virginica,130
131,7.9,3.8,6.4,2.0,virginica,131
132,6.4,2.8,5.6,2.2,virginica,132
133,6.3,2.8,5.1,1.5,virginica,133
134,6.1,2.6,5.6,1.4,virginica,134
135,7.7,3.0,6.1,2.3,virginica,135
136,6.3,3.4,5.6,2.4,virginica,136
137,6.4,3.1,5.5,1.8,virginica,137
138,6.0,3.0,4.8,1.8,virginica,138
139,6.9,3.1,5.4,2.1,virginica,139
140,6.7,3.1,5.6,2.4,virginica,140
141,6.9,3.1,5.1,2.3,virginica,141
142,5.8,2.7,5.1,1.9,virginica,142
143,6.8,3.2,5.9,2.3,virginica,143
144,6.7,3.3,5.7,2.5,virginica,144
145,6.7,3.0,5.2,2.3,virginica,145
146,6.3,2.5,5.0,1.9,virginica,146
147,6.5,3.0,5.2,2.0,virginica,147
148,6.2,3.4,5.4,2.3,virginica,148
149,5.9,3.0,5.1,1.8,virginica,149
